Product Id,Weight (kg),Length (m),Width (m),Height (m)
56889,0,0,0,0
56910,0.076,0.1,0.1,0.05
56931,0,0,0,0
56952,0.55,0.29,0.34,0.075
56973,0,0,0,0
56994,0.35,0.225,0.175,0.08
57015,0.146,0.32,0.24,0.09
57036,0.036,0.06,0.03,0.035
57057,0,0,0,0
57078,0,0,0,0
57099,0.082,0.13,0.09,0.02
57120,0,0,0,0
57141,0.3,0.2,0.07,0.01
57162,0,0,0,0
57183,0.1,0.17,0.05,0.02
57204,0,0,0,0
57225,0.766,0.22,,0.02
57246,0.256,0.202,0.105,0.32
57267,0,0,0,0
57288,0.16,0.225,0.01,0.29
57309,0,0,0,0
57330,0.292,0.225,0.345,0.02
57351,0,0,0,0
57372,0.364,0.055,0.23,0.15
57393,0,0,0,0
57414,0.042,0.04,0.03,0.09
57435,0.001,0.23,0.31,0.001
57456,0,0,0,0
57477,0.06,0.055,0.005,0.05
57498,0.042,0.05,0.05,0.08
57519,0.104,0.103,0.03,0.135
57540,0.04,0.05,0.04,0.03
57561,0,0,0,0
57582,0.012,0.1,0.06,0.01
57603,0.048,0.045,0.02,0.125
57624,0.17,0.19,0.08,0.025
57645,0,0,0,0
57666,0.156,0.25,0.02,0.1
57687,0.15,0.182,0.06,0.04
57708,0.13,0.17,0.075,0.02
57729,0.513,0.0175,0.045,0.07
57750,0.028,0.03,0.055,0.12
57771,0,0,0,0
57792,0.056,0.04,0.02,0.18
57813,0.07,0.123,0.02,0.085
57834,0.3,0.1,0.1,0.045
57855,0.184,0.02,0.145,0.08
57876,0.366,0.155,0.09,0.06
57897,0.304,195,0.035,0.19
57918,0,0,0,0
57939,0.022,0.33,0.23,0.01
57960,0.252,0.055,0.055,0.212
57981,0.042,0.02,0.085,0.16
58002,0.058,0.102,0.07,0.035
58023,0.014,0.14,0.01,0.01
58044,0.014,0.02,0.02,0.14
58065,0,0,0,0
58086,0.09,0.095,0.095,0.045
58107,0.1,0.14,0.015,0.015
58128,0.026,0.13,0.025,0.02
58149,0.035,0.07,0.03,0.02
58170,0.02,0.11,0.085,0.015
58191,0,0,0,0
58212,0.014,0.13,0.015,0.015
58233,0.15,0.05,0.11,0.18
58254,0.082,0.14,0.01,0.225
58275,0.194,0.265,0.085,0.035
58296,0,0,0,0
58317,0.046,0.17,0.09,0.01
58338,0.17,0.18,0.1,0.0215
58359,0.26,0.14,0.02,0.245
58380,0,0,0,0
58401,0.005,0.04,0.02,0.03
58422,aa,0.09,0.09,0.05
58443,0.006,0.09,0.001,0.06
58464,0.011,0.1,0.06,0.01
58485,0.1,0.1,0.1,0.14
58506,0.0922,0.33,0.27,0.12
58527,0.192,0.25,0.31,0.045
58548,0.144,0.245,0.31,0.02
58569,0,0,0,0
58590,0.018,0.015,0.04,0.16
58611,0,0,0,0
58632,0,0,0,0
58653,0,0,0,0
58674,0.018,0.095,0.07,0.01
58695,0.088,0.24,0.01,0.31
58716,0,0,0,0
58737,0,0,0,0
58758,0,0,0,0
58779,0.476,0.125,0.125,0.13
58800,0,0,0,0
58821,0.046,0.19,0.13,0.02
58842,0.1,0.18,0.12,0.03
58863,0,0,0,0
58884,0.058,0.143,0.125,0.015
58905,0.288,0.03,0.21,0.07
58926,0,0,0,0
58947,0.198,0.11,0.03,0.07
58968,0.044,0.06,0.05,0.055
58989,0,0,0,0
59010,0.081,0.145,0.065,0.045
59031,0.062,0.135,0.055,0.035
59052,0.222,0.07,0.04,0.18
59073,0.142,0.165,0.065,0.055
59094,0,0,0,0
59115,0,0,0,0
59136,0.205,0.0508,0.0508,0.1676
59157,0.044,0.09,0.03,0.025
59178,0.122,0.03,0.045,0.165
59199,0.072,0.135,0.065,ss
59220,0.124,0.07,0.05,0.16
59241,0.065,0.05,0.03,0.15
59262,0,0,0,0
59283,0,0,0,0
59304,0,0,0,0
59325,0,0,0,0
59346,0,0,0,0
59367,0,0,0,0
59388,0.33,0.09,0.05,0.22
59409,0,0,0,0
59430,0.246,0.08,0.048,0.21
59451,0.132,0.07,0.07,0.045
59472,0.16,0.09,0.09,0.075
59493,0,0,0,0
59514,0.23,0.08,0.04,0.185
59535,0.1,0.062,0.053,0.08
59556,0.135,0.028,0.028,0.145
59577,0.114,0.07,0.03,0.145
59598,0.13,0.06,dd,0.14
59619,0,0,0,0
59640,0,0,0,0
59661,0.556,0.01,0.05,0.225
59682,0,0,0,0
59703,0.226,0.06,0.04,0.16
59724,0.084,0.045,0.045,0.12
59745,0,0,0,0
59766,0,0,0,0
